,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADMIN1,ISO3,ISO-ADMIN1,Physical exposure to flood,Physical exposure to drought,Natural,Political violence,Conflict probability,Human,HAZARD,Development & Deprivation,Inequality,Socio-Economic Vulnerability,Uprooted people,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Private Infrastructure,Public Infrastructure,Social Infrastructure,Infrastructure,Income and jobs,Access to Finance,Access to insurance,Financial & economic system,LACK OF COPING CAPACITY,RISK
(a-z),(a-z),(a-z),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),,(0-10),,(0-10),(0-10)
Kenya,Kericho,KEN,KE-KR,10.0,3.5,8.2,6.4,8.4,6.4,7.4,5.5,4.9,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Kiambu,KEN,KE-KB,8.3,1.7,6.0,3.6,8.4,5.9,5.9,4.4,3.5,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.2
Kenya,Kilifi,KEN,KE-KF,10.0,6.7,8.9,6.4,8.4,6.4,7.9,5.1,6.5,5.6,3.6,0.0,10.0,7.6,6.0,5.8,8.1,6.6,7.4,6.7,8.4,x,7.6,9.4,8.4,5.0,7.6,7.5,7.0
Kenya,Kirinyaga,KEN,KE-KY,9.5,2.4,7.4,3.6,8.4,5.9,6.7,4.3,3.7,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.4
Kenya,Kisii,KEN,KE-KI,9.1,6.6,8.1,0.1,8.4,5.9,7.2,5.5,4.7,5.2,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
Kenya,Kisumu,KEN,KE-KU,10.0,6.7,8.9,2.1,8.4,5.9,7.7,5.4,4.8,5.2,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Kitui,KEN,KE-KT,8.8,6.8,8.0,3.6,8.4,5.9,7.1,5.9,4.4,5.4,3.6,0.0,10.0,7.6,6.0,5.7,8.1,6.6,7.4,6.7,7.8,x,7.2,9.4,8.4,5.0,7.6,7.4,6.7
Kenya,Kwale,KEN,KE-KW,10.0,5.5,8.6,6.4,8.4,6.4,7.7,6.4,6.6,6.5,3.6,0.0,10.0,7.6,6.0,6.2,8.1,6.6,7.4,6.7,8.1,x,7.4,9.4,8.4,5.0,7.6,7.4,7.1
Kenya,Laikipia,KEN,KE-LK,7.6,5.5,6.7,6.4,8.4,6.4,6.5,5.0,4.7,4.9,3.6,0.0,10.0,7.6,6.0,5.5,8.1,6.6,7.4,6.7,8.6,x,7.6,9.4,8.4,5.0,7.6,7.5,6.5
Kenya,Lamu,KEN,KE-LM,7.4,6.2,6.9,10.0,8.4,10.0,8.9,5.8,5.9,5.8,3.6,0.0,0.0,0.0,2.0,4.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.5
